================ M=4 seed=0  P=2 3 4 ================
Loaded master B_full from /home/user/al-rnn-exp/results_seedrun_v2/shared_B_full_dim20_seed42.npy
Shared B (sliced from B_full): shape=(3, 4)  frozen=True  ||B||_F=1.172

================  P = 2  ================
[P=2/orig] epoch    0/1000  loss=0.967190  elapsed=0.8s
[P=2/orig] epoch  100/1000  loss=0.142680  elapsed=76.6s
[P=2/orig] epoch  200/1000  loss=0.140164  elapsed=151.7s
[P=2/orig] epoch  300/1000  loss=0.136327  elapsed=229.4s
[P=2/orig] epoch  400/1000  loss=0.141089  elapsed=307.1s
[P=2/orig] epoch  500/1000  loss=0.138071  elapsed=383.5s
[P=2/orig] epoch  600/1000  loss=0.137345  elapsed=458.2s
[P=2/orig] epoch  700/1000  loss=0.136220  elapsed=533.7s
[P=2/orig] epoch  800/1000  loss=0.138014  elapsed=611.0s
[P=2/orig] epoch  900/1000  loss=0.137345  elapsed=688.3s
[P=2/orig] epoch  999/1000  loss=0.138354  elapsed=766.4s
[P=2/ortho] epoch    0/1000  loss=0.891073  elapsed=0.9s
[P=2/ortho] epoch  100/1000  loss=0.048504  elapsed=90.8s
[P=2/ortho] epoch  200/1000  loss=0.046046  elapsed=179.7s
[P=2/ortho] epoch  300/1000  loss=0.045504  elapsed=269.7s
[P=2/ortho] epoch  400/1000  loss=0.046123  elapsed=361.1s
[P=2/ortho] epoch  500/1000  loss=0.043623  elapsed=460.3s
[P=2/ortho] epoch  600/1000  loss=0.044946  elapsed=555.9s
[P=2/ortho] epoch  700/1000  loss=0.045541  elapsed=650.5s
[P=2/ortho] epoch  800/1000  loss=0.044583  elapsed=741.7s
[P=2/ortho] epoch  900/1000  loss=0.043960  elapsed=838.7s
[P=2/ortho] epoch  999/1000  loss=0.044175  elapsed=934.2s

================  P = 3  ================
[P=3/orig] epoch    0/1000  loss=0.934806  elapsed=0.8s
[P=3/orig] epoch  100/1000  loss=0.146248  elapsed=86.0s
[P=3/orig] epoch  200/1000  loss=0.141899  elapsed=168.4s
[P=3/orig] epoch  300/1000  loss=0.146826  elapsed=250.3s
[P=3/orig] epoch  400/1000  loss=0.140002  elapsed=332.7s
[P=3/orig] epoch  500/1000  loss=0.143695  elapsed=412.8s
[P=3/orig] epoch  600/1000  loss=0.139966  elapsed=495.6s
[P=3/orig] epoch  700/1000  loss=0.135729  elapsed=577.4s
[P=3/orig] epoch  800/1000  loss=0.140715  elapsed=656.9s
[P=3/orig] epoch  900/1000  loss=0.141137  elapsed=736.4s
[P=3/orig] epoch  999/1000  loss=0.138974  elapsed=817.3s
[P=3/ortho] epoch    0/1000  loss=0.861991  elapsed=1.0s
[P=3/ortho] epoch  100/1000  loss=0.048747  elapsed=93.5s
[P=3/ortho] epoch  200/1000  loss=0.036363  elapsed=188.8s
[P=3/ortho] epoch  300/1000  loss=0.032073  elapsed=282.2s
[P=3/ortho] epoch  400/1000  loss=0.031172  elapsed=376.3s
[P=3/ortho] epoch  500/1000  loss=0.030653  elapsed=471.1s
[P=3/ortho] epoch  600/1000  loss=0.030693  elapsed=563.5s
[P=3/ortho] epoch  700/1000  loss=0.030258  elapsed=658.7s
[P=3/ortho] epoch  800/1000  loss=0.030098  elapsed=753.0s
[P=3/ortho] epoch  900/1000  loss=0.029933  elapsed=858.7s
[P=3/ortho] epoch  999/1000  loss=0.029372  elapsed=964.1s

================  P = 4  ================
[P=4/orig] epoch    0/1000  loss=0.603794  elapsed=0.8s
[P=4/orig] epoch  100/1000  loss=0.075479  elapsed=88.1s
[P=4/orig] epoch  200/1000  loss=0.073914  elapsed=176.3s
[P=4/orig] epoch  300/1000  loss=0.070677  elapsed=264.2s
[P=4/orig] epoch  400/1000  loss=0.069262  elapsed=352.2s
[P=4/orig] epoch  500/1000  loss=0.069742  elapsed=437.6s
[P=4/orig] epoch  600/1000  loss=0.068814  elapsed=524.6s
[P=4/orig] epoch  700/1000  loss=0.068544  elapsed=611.6s
[P=4/orig] epoch  800/1000  loss=0.069209  elapsed=695.7s
[P=4/orig] epoch  900/1000  loss=0.069730  elapsed=775.1s
[P=4/orig] epoch  999/1000  loss=0.069480  elapsed=849.0s
[P=4/ortho] epoch    0/1000  loss=0.706963  elapsed=0.9s
[P=4/ortho] epoch  100/1000  loss=0.032426  elapsed=87.9s
[P=4/ortho] epoch  200/1000  loss=0.030759  elapsed=172.3s
[P=4/ortho] epoch  300/1000  loss=0.029731  elapsed=257.7s
[P=4/ortho] epoch  400/1000  loss=0.030011  elapsed=346.6s
[P=4/ortho] epoch  500/1000  loss=0.029573  elapsed=438.1s
[P=4/ortho] epoch  600/1000  loss=0.029147  elapsed=526.6s
[P=4/ortho] epoch  700/1000  loss=0.028280  elapsed=614.2s
[P=4/ortho] epoch  800/1000  loss=0.027780  elapsed=700.9s
[P=4/ortho] epoch  900/1000  loss=0.027570  elapsed=796.6s
[P=4/ortho] epoch  999/1000  loss=0.027853  elapsed=882.1s

All done in 86.9 min
