================ M=5 seed=1  P=2 3 4 5 ================
Loaded master B_full from /home/user/al-rnn-exp/results_seedrun_v2/shared_B_full_dim20_seed42.npy
Shared B (sliced from B_full): shape=(3, 5)  frozen=True  ||B||_F=1.307

================  P = 2  ================
[P=2/orig] epoch    0/1000  loss=0.928652  elapsed=0.4s
[P=2/orig] epoch  100/1000  loss=0.047755  elapsed=37.7s
[P=2/orig] epoch  200/1000  loss=0.044773  elapsed=74.9s
[P=2/orig] epoch  300/1000  loss=0.044577  elapsed=111.7s
[P=2/orig] epoch  400/1000  loss=0.043166  elapsed=148.7s
[P=2/orig] epoch  500/1000  loss=0.043942  elapsed=185.9s
[P=2/orig] epoch  600/1000  loss=0.042976  elapsed=222.5s
[P=2/orig] epoch  700/1000  loss=0.043656  elapsed=259.2s
[P=2/orig] epoch  800/1000  loss=0.043496  elapsed=295.2s
[P=2/orig] epoch  900/1000  loss=0.043548  elapsed=331.6s
[P=2/orig] epoch  999/1000  loss=0.042341  elapsed=368.2s
[P=2/ortho] epoch    0/1000  loss=0.827498  elapsed=0.6s
[P=2/ortho] epoch  100/1000  loss=0.038994  elapsed=43.0s
[P=2/ortho] epoch  200/1000  loss=0.035618  elapsed=85.5s
[P=2/ortho] epoch  300/1000  loss=0.034418  elapsed=128.5s
[P=2/ortho] epoch  400/1000  loss=0.034332  elapsed=173.0s
[P=2/ortho] epoch  500/1000  loss=0.034030  elapsed=216.9s
[P=2/ortho] epoch  600/1000  loss=0.034711  elapsed=259.9s
[P=2/ortho] epoch  700/1000  loss=0.035049  elapsed=302.8s
[P=2/ortho] epoch  800/1000  loss=0.034127  elapsed=345.8s
[P=2/ortho] epoch  900/1000  loss=0.034649  elapsed=388.5s
[P=2/ortho] epoch  999/1000  loss=0.034100  elapsed=431.0s

================  P = 3  ================
[P=3/orig] epoch    0/1000  loss=0.923823  elapsed=0.4s
[P=3/orig] epoch  100/1000  loss=0.040975  elapsed=37.8s
[P=3/orig] epoch  200/1000  loss=0.036529  elapsed=75.3s
[P=3/orig] epoch  300/1000  loss=0.034644  elapsed=114.7s
[P=3/orig] epoch  400/1000  loss=0.033722  elapsed=154.5s
[P=3/orig] epoch  500/1000  loss=0.032494  elapsed=194.3s
[P=3/orig] epoch  600/1000  loss=0.032949  elapsed=232.1s
[P=3/orig] epoch  700/1000  loss=0.033186  elapsed=269.3s
[P=3/orig] epoch  800/1000  loss=0.032608  elapsed=306.1s
[P=3/orig] epoch  900/1000  loss=0.032373  elapsed=342.5s
[P=3/orig] epoch  999/1000  loss=0.032609  elapsed=379.4s
[P=3/ortho] epoch    0/1000  loss=0.880354  elapsed=0.6s
[P=3/ortho] epoch  100/1000  loss=0.036714  elapsed=44.8s
[P=3/ortho] epoch  200/1000  loss=0.027819  elapsed=87.8s
[P=3/ortho] epoch  300/1000  loss=0.026542  elapsed=131.0s
[P=3/ortho] epoch  400/1000  loss=0.025893  elapsed=173.2s
[P=3/ortho] epoch  500/1000  loss=0.025674  elapsed=215.9s
[P=3/ortho] epoch  600/1000  loss=0.025356  elapsed=258.0s
[P=3/ortho] epoch  700/1000  loss=0.025159  elapsed=300.0s
[P=3/ortho] epoch  800/1000  loss=0.025182  elapsed=343.0s
[P=3/ortho] epoch  900/1000  loss=0.025046  elapsed=385.2s
[P=3/ortho] epoch  999/1000  loss=0.025374  elapsed=427.0s

================  P = 4  ================
[P=4/orig] epoch    0/1000  loss=0.891721  elapsed=0.5s
[P=4/orig] epoch  100/1000  loss=0.076754  elapsed=38.9s
[P=4/orig] epoch  200/1000  loss=0.071584  elapsed=75.4s
[P=4/orig] epoch  300/1000  loss=0.069222  elapsed=112.0s
[P=4/orig] epoch  400/1000  loss=0.070593  elapsed=148.8s
[P=4/orig] epoch  500/1000  loss=0.067418  elapsed=185.6s
[P=4/orig] epoch  600/1000  loss=0.067582  elapsed=222.0s
[P=4/orig] epoch  700/1000  loss=0.068400  elapsed=258.4s
[P=4/orig] epoch  800/1000  loss=0.067668  elapsed=294.6s
[P=4/orig] epoch  900/1000  loss=0.067375  elapsed=331.3s
[P=4/orig] epoch  999/1000  loss=0.064908  elapsed=368.5s
[P=4/ortho] epoch    0/1000  loss=0.838116  elapsed=0.5s
[P=4/ortho] epoch  100/1000  loss=0.026657  elapsed=43.0s
[P=4/ortho] epoch  200/1000  loss=0.021627  elapsed=85.5s
[P=4/ortho] epoch  300/1000  loss=0.020448  elapsed=129.0s
[P=4/ortho] epoch  400/1000  loss=0.019619  elapsed=172.4s
[P=4/ortho] epoch  500/1000  loss=0.019295  elapsed=215.0s
[P=4/ortho] epoch  600/1000  loss=0.018905  elapsed=257.8s
[P=4/ortho] epoch  700/1000  loss=0.018896  elapsed=300.9s
[P=4/ortho] epoch  800/1000  loss=0.018671  elapsed=344.2s
[P=4/ortho] epoch  900/1000  loss=0.018969  elapsed=386.2s
[P=4/ortho] epoch  999/1000  loss=0.018608  elapsed=427.9s

================  P = 5  ================
[P=5/orig] epoch    0/1000  loss=0.801986  elapsed=0.5s
[P=5/orig] epoch  100/1000  loss=0.046017  elapsed=36.8s
[P=5/orig] epoch  200/1000  loss=0.042663  elapsed=72.9s
[P=5/orig] epoch  300/1000  loss=0.039933  elapsed=109.5s
[P=5/orig] epoch  400/1000  loss=0.040881  elapsed=146.4s
[P=5/orig] epoch  500/1000  loss=0.040255  elapsed=181.2s
[P=5/orig] epoch  600/1000  loss=0.039514  elapsed=217.5s
[P=5/orig] epoch  700/1000  loss=0.039738  elapsed=253.4s
[P=5/orig] epoch  800/1000  loss=0.039632  elapsed=289.5s
[P=5/orig] epoch  900/1000  loss=0.038876  elapsed=326.0s
[P=5/orig] epoch  999/1000  loss=0.039667  elapsed=361.9s
[P=5/ortho] epoch    0/1000  loss=0.866057  elapsed=0.5s
[P=5/ortho] epoch  100/1000  loss=0.026662  elapsed=41.1s
[P=5/ortho] epoch  200/1000  loss=0.024114  elapsed=82.7s
[P=5/ortho] epoch  300/1000  loss=0.019602  elapsed=123.4s
[P=5/ortho] epoch  400/1000  loss=0.018153  elapsed=164.2s
[P=5/ortho] epoch  500/1000  loss=0.016927  elapsed=204.0s
[P=5/ortho] epoch  600/1000  loss=0.016839  elapsed=245.6s
[P=5/ortho] epoch  700/1000  loss=0.015966  elapsed=286.5s
[P=5/ortho] epoch  800/1000  loss=0.016155  elapsed=326.8s
[P=5/ortho] epoch  900/1000  loss=0.016276  elapsed=368.7s
[P=5/ortho] epoch  999/1000  loss=0.016509  elapsed=409.6s

All done in 52.9 min
