================ M=8 seed=0  P=2 3 4 5 6 ================
Loaded master B_full from /home/user/al-rnn-exp/results_seedrun_v2/shared_B_full_dim20_seed42.npy
Shared B (sliced from B_full): shape=(3, 8)  frozen=True  ||B||_F=1.523

================  P = 2  ================
[P=2/orig] epoch    0/1000  loss=0.912607  elapsed=0.6s
[P=2/orig] epoch  100/1000  loss=0.037497  elapsed=58.3s
[P=2/orig] epoch  200/1000  loss=0.033798  elapsed=116.3s
[P=2/orig] epoch  300/1000  loss=0.032712  elapsed=174.9s
[P=2/orig] epoch  400/1000  loss=0.033743  elapsed=233.1s
[P=2/orig] epoch  500/1000  loss=0.032920  elapsed=291.5s
[P=2/orig] epoch  600/1000  loss=0.031986  elapsed=350.2s
[P=2/orig] epoch  700/1000  loss=0.031116  elapsed=408.8s
[P=2/orig] epoch  800/1000  loss=0.032057  elapsed=468.9s
[P=2/orig] epoch  900/1000  loss=0.031726  elapsed=526.5s
[P=2/orig] epoch  999/1000  loss=0.032357  elapsed=583.4s
[P=2/ortho] epoch    0/1000  loss=0.960911  elapsed=0.8s
[P=2/ortho] epoch  100/1000  loss=0.036145  elapsed=71.6s
[P=2/ortho] epoch  200/1000  loss=0.032593  elapsed=141.1s
[P=2/ortho] epoch  300/1000  loss=0.032434  elapsed=209.7s
[P=2/ortho] epoch  400/1000  loss=0.032726  elapsed=276.0s
[P=2/ortho] epoch  500/1000  loss=0.030853  elapsed=342.4s
[P=2/ortho] epoch  600/1000  loss=0.031212  elapsed=408.7s
[P=2/ortho] epoch  700/1000  loss=0.031907  elapsed=474.3s
[P=2/ortho] epoch  800/1000  loss=0.031103  elapsed=540.3s
[P=2/ortho] epoch  900/1000  loss=0.031021  elapsed=606.3s
[P=2/ortho] epoch  999/1000  loss=0.031403  elapsed=672.2s

================  P = 3  ================
[P=3/orig] epoch    0/1000  loss=0.933664  elapsed=0.7s
[P=3/orig] epoch  100/1000  loss=0.027003  elapsed=59.4s
[P=3/orig] epoch  200/1000  loss=0.024805  elapsed=116.8s
[P=3/orig] epoch  300/1000  loss=0.024203  elapsed=173.8s
[P=3/orig] epoch  400/1000  loss=0.023230  elapsed=232.2s
[P=3/orig] epoch  500/1000  loss=0.023747  elapsed=295.2s
[P=3/orig] epoch  600/1000  loss=0.023642  elapsed=358.1s
[P=3/orig] epoch  700/1000  loss=0.022851  elapsed=421.2s
[P=3/orig] epoch  800/1000  loss=0.022800  elapsed=478.4s
[P=3/orig] epoch  900/1000  loss=0.023440  elapsed=535.9s
[P=3/orig] epoch  999/1000  loss=0.022749  elapsed=596.1s
[P=3/ortho] epoch    0/1000  loss=0.897495  elapsed=0.9s
[P=3/ortho] epoch  100/1000  loss=0.026186  elapsed=66.8s
[P=3/ortho] epoch  200/1000  loss=0.023996  elapsed=132.6s
[P=3/ortho] epoch  300/1000  loss=0.021658  elapsed=201.3s
[P=3/ortho] epoch  400/1000  loss=0.021040  elapsed=273.4s
[P=3/ortho] epoch  500/1000  loss=0.020661  elapsed=345.9s
[P=3/ortho] epoch  600/1000  loss=0.020368  elapsed=417.1s
[P=3/ortho] epoch  700/1000  loss=0.020049  elapsed=495.4s
[P=3/ortho] epoch  800/1000  loss=0.019819  elapsed=575.0s
[P=3/ortho] epoch  900/1000  loss=0.019646  elapsed=654.6s
[P=3/ortho] epoch  999/1000  loss=0.019381  elapsed=732.9s

================  P = 4  ================
[P=4/orig] epoch    0/1000  loss=0.975889  elapsed=0.8s
[P=4/orig] epoch  100/1000  loss=0.024476  elapsed=70.6s
[P=4/orig] epoch  200/1000  loss=0.021460  elapsed=136.7s
[P=4/orig] epoch  300/1000  loss=0.019100  elapsed=203.0s
[P=4/orig] epoch  400/1000  loss=0.018688  elapsed=272.7s
[P=4/orig] epoch  500/1000  loss=0.017997  elapsed=341.6s
[P=4/orig] epoch  600/1000  loss=0.017697  elapsed=411.1s
[P=4/orig] epoch  700/1000  loss=0.017834  elapsed=478.3s
[P=4/orig] epoch  800/1000  loss=0.017774  elapsed=544.5s
[P=4/orig] epoch  900/1000  loss=0.018171  elapsed=613.5s
[P=4/orig] epoch  999/1000  loss=0.017732  elapsed=683.2s
[P=4/ortho] epoch    0/1000  loss=0.946625  elapsed=1.0s
[P=4/ortho] epoch  100/1000  loss=0.019532  elapsed=80.3s
[P=4/ortho] epoch  200/1000  loss=0.018075  elapsed=160.3s
[P=4/ortho] epoch  300/1000  loss=0.017425  elapsed=239.7s
[P=4/ortho] epoch  400/1000  loss=0.017573  elapsed=315.4s
[P=4/ortho] epoch  500/1000  loss=0.017261  elapsed=392.1s
[P=4/ortho] epoch  600/1000  loss=0.017147  elapsed=470.2s
[P=4/ortho] epoch  700/1000  loss=0.016977  elapsed=544.9s
[P=4/ortho] epoch  800/1000  loss=0.017069  elapsed=620.9s
[P=4/ortho] epoch  900/1000  loss=0.016893  elapsed=697.4s
[P=4/ortho] epoch  999/1000  loss=0.017181  elapsed=773.4s

================  P = 5  ================
[P=5/orig] epoch    0/1000  loss=0.920124  elapsed=0.7s
[P=5/orig] epoch  100/1000  loss=0.020655  elapsed=72.2s
[P=5/orig] epoch  200/1000  loss=0.016262  elapsed=136.1s
[P=5/orig] epoch  300/1000  loss=0.015251  elapsed=195.2s
[P=5/orig] epoch  400/1000  loss=0.014421  elapsed=253.6s
[P=5/orig] epoch  500/1000  loss=0.013631  elapsed=315.1s
[P=5/orig] epoch  600/1000  loss=0.013501  elapsed=379.5s
[P=5/orig] epoch  700/1000  loss=0.013357  elapsed=446.0s
[P=5/orig] epoch  800/1000  loss=0.013357  elapsed=512.2s
[P=5/orig] epoch  900/1000  loss=0.013136  elapsed=578.8s
[P=5/orig] epoch  999/1000  loss=0.013506  elapsed=649.1s
[P=5/ortho] epoch    0/1000  loss=0.914576  elapsed=1.0s
[P=5/ortho] epoch  100/1000  loss=0.014088  elapsed=83.1s
[P=5/ortho] epoch  200/1000  loss=0.011223  elapsed=164.7s
[P=5/ortho] epoch  300/1000  loss=0.011002  elapsed=245.0s
[P=5/ortho] epoch  400/1000  loss=0.010543  elapsed=326.1s
[P=5/ortho] epoch  500/1000  loss=0.010467  elapsed=404.9s
[P=5/ortho] epoch  600/1000  loss=0.010537  elapsed=486.0s
[P=5/ortho] epoch  700/1000  loss=0.010326  elapsed=558.8s
[P=5/ortho] epoch  800/1000  loss=0.010332  elapsed=630.7s
[P=5/ortho] epoch  900/1000  loss=0.010217  elapsed=712.1s
[P=5/ortho] epoch  999/1000  loss=0.010280  elapsed=785.7s

================  P = 6  ================
[P=6/orig] epoch    0/1000  loss=0.918196  elapsed=0.7s
[P=6/orig] epoch  100/1000  loss=0.021092  elapsed=64.8s
[P=6/orig] epoch  200/1000  loss=0.017403  elapsed=131.3s
[P=6/orig] epoch  300/1000  loss=0.016575  elapsed=197.1s
[P=6/orig] epoch  400/1000  loss=0.015182  elapsed=260.1s
[P=6/orig] epoch  500/1000  loss=0.015089  elapsed=323.8s
[P=6/orig] epoch  600/1000  loss=0.014427  elapsed=387.9s
[P=6/orig] epoch  700/1000  loss=0.014666  elapsed=453.9s
[P=6/orig] epoch  800/1000  loss=0.015001  elapsed=522.5s
[P=6/orig] epoch  900/1000  loss=0.014667  elapsed=591.8s
[P=6/orig] epoch  999/1000  loss=0.014771  elapsed=654.5s
[P=6/ortho] epoch    0/1000  loss=0.954982  elapsed=0.8s
[P=6/ortho] epoch  100/1000  loss=0.013222  elapsed=73.6s
[P=6/ortho] epoch  200/1000  loss=0.011101  elapsed=147.3s
[P=6/ortho] epoch  300/1000  loss=0.009787  elapsed=219.8s
[P=6/ortho] epoch  400/1000  loss=0.009153  elapsed=291.4s
[P=6/ortho] epoch  500/1000  loss=0.009034  elapsed=363.7s
[P=6/ortho] epoch  600/1000  loss=0.008808  elapsed=435.6s
[P=6/ortho] epoch  700/1000  loss=0.008755  elapsed=501.7s
[P=6/ortho] epoch  800/1000  loss=0.008806  elapsed=568.1s
[P=6/ortho] epoch  900/1000  loss=0.008728  elapsed=634.1s
[P=6/ortho] epoch  999/1000  loss=0.008671  elapsed=699.3s

All done in 113.9 min
